data_id,treat,age,educ,black,hisp,marr,nodegree,re74,re75,re78,agesq,agecube,educsq,educcube,u74,u75,educ_re74,re74sq,re75sq,hisp_u74
Dehejia-Wahba Sample,1,20,10,1,0,0,1,5005.731,2777.355,5615.189,400,8000,100,1000,0,0,50057.309,25057342,7713700.5,0
Dehejia-Wahba Sample,1,28,10,1,0,0,1,0,2836.5061,3196.571,784,21952,100,1000,1,0,0,0,8045767,0
Dehejia-Wahba Sample,1,24,12,1,0,0,0,13765.75,2842.7639,6167.6812,576,13824,144,1728,0,0,165189,189495872,8081306.5,0
Dehejia-Wahba Sample,1,19,8,1,0,0,1,2636.353,2937.2639,7535.9419,361,6859,64,512,0,0,21090.824,6950357.5,8627519,0
Dehejia-Wahba Sample,1,23,12,1,0,0,0,6269.3408,3039.96,8484.2393,529,12167,144,1728,0,0,75232.094,39304636,9241357,0
Dehejia-Wahba Sample,1,42,9,1,0,1,1,0,3058.531,1294.4091,1764,74088,81,729,1,0,0,0,9354612,0
Dehejia-Wahba Sample,1,25,13,1,0,0,0,12362.93,3090.7319,0,625,15625,169,2197,0,0,160718.09,152842032,9552624,0
Dehejia-Wahba Sample,1,18,9,1,0,0,1,0,3287.375,5010.3418,324,5832,81,729,1,0,0,0,10806834,0
Dehejia-Wahba Sample,1,21,12,1,0,0,0,6473.6831,3332.4089,9371.0371,441,9261,144,1728,0,0,77684.195,41908572,11104949,0
Dehejia-Wahba Sample,1,27,10,1,0,0,1,1001.146,3550.075,0,729,19683,100,1000,0,0,10011.46,1002293.3,12603032,0
Dehejia-Wahba Sample,1,21,8,1,0,0,1,989.26782,3695.897,4279.6128,441,9261,64,512,0,0,7914.1426,978650.81,13659654,0
Dehejia-Wahba Sample,1,22,9,1,0,0,1,2192.877,3836.9861,3462.564,484,10648,81,729,0,0,19735.893,4808709.5,14722462,0
Dehejia-Wahba Sample,1,31,4,1,0,0,1,8517.5889,4023.2109,7382.5488,961,29791,16,64,0,0,34070.355,72549320,16186226,0
Dehejia-Wahba Sample,1,24,10,1,0,1,1,11703.2,4078.1521,0,576,13824,100,1000,0,0,117032,136964896,16631325,0
Dehejia-Wahba Sample,1,29,10,1,0,0,1,0,4398.9502,0,841,24389,100,1000,1,0,0,0,19350762,0
Dehejia-Wahba Sample,1,29,12,1,0,0,0,9748.3867,4878.937,10976.51,841,24389,144,1728,0,0,116980.64,95031040,23804026,0
Dehejia-Wahba Sample,1,19,10,0,0,0,1,0,5324.1089,13829.62,361,6859,100,1000,1,0,0,0,28346136,0
Dehejia-Wahba Sample,1,19,11,0,1,1,1,5424.4849,5463.8032,6788.4629,361,6859,121,1331,0,0,59669.332,29425036,29853146,0
Dehejia-Wahba Sample,1,31,9,1,0,0,1,10717.03,5517.8408,9558.501,961,29791,81,729,0,0,96453.273,114854736,30446568,0
Dehejia-Wahba Sample,1,22,10,1,0,1,1,1468.348,5588.6641,13228.28,484,10648,100,1000,0,0,14683.48,2156046,31233166,0
Dehejia-Wahba Sample,1,21,9,1,0,0,1,6416.4702,5749.3311,743.66663,441,9261,81,729,0,0,57748.23,41171092,33054808,0
Dehejia-Wahba Sample,1,17,10,1,0,0,1,1291.468,5793.8521,5522.7881,289,4913,100,1000,0,0,12914.68,1667889.6,33568720,0
Dehejia-Wahba Sample,1,26,12,1,0,1,0,8408.7617,5794.8311,1424.944,676,17576,144,1728,0,0,100905.14,70707272,33580068,0
Dehejia-Wahba Sample,1,20,9,0,1,0,1,12260.78,5875.0488,1358.6429,400,8000,81,729,0,0,110347.02,150326736,34516200,0
Dehejia-Wahba Sample,1,19,10,1,0,0,1,4121.9492,6056.7539,0,361,6859,100,1000,0,0,41219.492,16990466,36684268,0
Dehejia-Wahba Sample,1,26,10,1,0,0,1,25929.68,6788.958,672.87732,676,17576,100,1000,0,0,259296.8,672348288,46089952,0
Dehejia-Wahba Sample,1,28,11,1,0,0,1,1929.0291,6871.856,0,784,21952,121,1331,0,0,21219.32,3721153,47222404,0
Dehejia-Wahba Sample,1,22,12,0,1,1,0,492.2305,7055.7021,10092.83,484,10648,144,1728,0,0,5906.7661,242290.86,49782932,0
Dehejia-Wahba Sample,1,33,11,1,0,0,1,0,7867.916,6281.4331,1089,35937,121,1331,1,0,0,0,61904104,0
Dehejia-Wahba Sample,1,22,12,0,0,0,0,6759.9941,8455.5039,12590.71,484,10648,144,1728,0,0,81119.93,45697520,71495544,0
Dehejia-Wahba Sample,1,29,10,0,1,0,1,0,8853.6738,5112.0142,841,24389,100,1000,1,0,0,0,78387544,1
Dehejia-Wahba Sample,1,33,12,1,0,1,0,20279.949,10941.35,15952.6,1089,35937,144,1728,0,0,243359.39,411276352,119713128,0
Dehejia-Wahba Sample,1,25,14,1,0,1,0,35040.07,11536.57,36646.949,625,15625,196,2744,0,0,490561,1227806464,133092456,0
Dehejia-Wahba Sample,1,35,9,1,0,1,1,13602.43,13830.64,12803.97,1225,42875,81,729,0,0,122421.87,185026096,191286592,0
Dehejia-Wahba Sample,1,35,8,1,0,1,1,13732.07,17976.15,3786.6279,1225,42875,64,512,0,0,109856.56,188569760,323141984,0
Dehejia-Wahba Sample,1,33,11,1,0,1,1,14660.71,25142.24,4181.9419,1089,35937,121,1331,0,0,161267.81,214936416,632132224,0
CPS1,0,45,11,0,0,1,1,21516.67,25243.551,25564.67,2025,91125,121,1331,0,0,236683.38,462967072,637236864,0
CPS1,0,21,14,0,0,0,0,3175.9709,5852.5649,13496.08,441,9261,196,2744,0,0,44463.594,10086791,34252516,0
CPS1,0,38,12,0,0,1,0,23039.02,25130.76,25564.67,1444,54872,144,1728,0,0,276468.25,530796416,631555072,0
CPS1,0,48,6,0,0,1,1,24994.369,25243.551,25564.67,2304,110592,36,216,0,0,149966.22,624718464,637236864,0
CPS1,0,18,8,0,0,1,1,1669.295,10727.61,9860.8691,324,5832,64,512,0,0,13354.36,2786546,115081624,0
CPS1,0,22,11,0,0,1,1,16365.76,18449.27,25564.67,484,10648,121,1331,0,0,180023.36,267838096,340375552,0
CPS1,0,48,10,0,0,1,1,16804.631,16354.6,18059.301,2304,110592,100,1000,0,0,168046.31,282395616,267472928,0
CPS1,0,18,11,0,0,0,1,1144.212,3620.032,15739.27,324,5832,121,1331,0,0,12586.332,1309221.1,13104632,0
CPS1,0,48,9,0,0,1,1,25862.32,25243.551,25564.67,2304,110592,81,729,0,0,232760.88,668859584,637236864,0
CPS1,0,45,12,0,0,1,0,25862.32,0,3924.842,2025,91125,144,1728,0,1,310347.84,668859584,0,0
CPS1,0,34,14,0,0,1,0,25862.32,23746.84,25564.67,1156,39304,196,2744,0,0,362072.5,668859584,563912384,0
CPS1,0,16,10,0,0,0,1,1026.656,1224.5811,6847.7852,256,4096,100,1000,0,0,10266.561,1054022.5,1499598.8,0
CPS1,0,53,10,0,0,1,1,25862.32,25243.551,25564.67,2809,148877,100,1000,0,0,258623.2,668859584,637236864,0
CPS1,0,19,12,0,0,0,0,867.9552,4386.29,8777.6963,361,6859,144,1728,0,0,10415.463,753346.25,19239540,0
CPS1,0,27,12,0,0,1,0,25862.32,19047.24,19214.881,729,19683,144,1728,0,0,310347.84,668859584,362797376,0
CPS1,0,32,10,0,0,1,1,20427.32,23374.449,9179.6367,1024,32768,100,1000,0,0,204273.2,417275424,546364864,0
CPS1,0,27,12,0,0,1,0,20983.75,14822.08,25564.67,729,19683,144,1728,0,0,251805,440317760,219694064,0
CPS1,0,46,7,0,0,1,1,19171.43,1317.677,0,2116,97336,49,343,0,0,134200,367543712,1736272.6,0
CPS1,0,24,13,0,0,0,0,20830.92,25243.551,23903.711,576,13824,169,2197,0,0,270801.97,433927232,637236864,0
CPS1,0,22,13,0,0,0,0,11036.55,10351.65,6556.6729,484,10648,169,2197,0,0,143475.14,121805432,107156664,0
CPS1,0,49,10,0,0,1,1,391.85339,0,0,2401,117649,100,1000,0,1,3918.5339,153549.08,0,0
CPS1,0,17,10,0,0,0,1,0,0,4755.3242,289,4913,100,1000,1,1,0,0,0,0
CPS1,0,29,14,0,0,1,0,21499.029,22586.711,20923.131,841,24389,196,2744,0,0,300986.41,462208256,510159520,0
CPS1,0,28,16,0,0,1,0,16500.949,0,10267.24,784,21952,256,4096,0,1,264015.19,272281312,0,0
CPS1,0,46,12,0,0,1,0,24814.109,24967.84,19339.01,2116,97336,144,1728,0,0,297769.31,615740032,623393024,0
CPS1,0,26,17,1,0,1,0,0,0,4753.8462,676,17576,289,4913,1,1,0,0,0,0
CPS1,0,49,12,0,0,0,0,25862.32,25243.551,25564.67,2401,117649,144,1728,0,0,310347.84,668859584,637236864,0
CPS1,0,51,10,0,0,1,1,25862.32,25243.551,25564.67,2601,132651,100,1000,0,0,258623.2,668859584,637236864,0
CPS1,0,51,10,0,0,1,1,22923.42,21725.561,10348.52,2601,132651,100,1000,0,0,229234.2,525483168,471999968,0
CPS1,0,27,11,0,0,1,1,17022.109,18123.439,18490.789,729,19683,121,1331,0,0,187243.2,289752192,328459072,0
CPS1,0,23,13,0,0,0,0,19098.93,21014.811,0,529,12167,169,2197,0,0,248286.09,364769120,441622272,0
CPS1,0,27,10,0,0,1,1,7952.6641,9755.4678,13105.96,729,19683,100,1000,0,0,79526.641,63244864,95169152,0
CPS1,0,38,10,0,0,1,1,25862.32,25243.551,25564.67,1444,54872,100,1000,0,0,258623.2,668859584,637236864,0
